# list of all four-vector systematics
# for a complete list of systematics in the bbll analysis check
# https://docs.google.com/spreadsheets/d/1IjlcEvFVLG49gxsCaKux3O7t21ddXmI5sHDqqUJXGVk/edit?usp=sharing

# name                                      , type
EG_RESOLUTION_ALL                           , twosided
EG_SCALE_AF2                                , twosided
EG_SCALE_ALL                                , twosided
MUON_ID                                     , twosided
MUON_MS                                     , twosided
MUON_SAGITTA_RESBIAS                        , twosided
MUON_SAGITTA_RHO                            , twosided
MUON_SCALE                                  , twosided
MET_SoftTrk_ResoPara                        , onesided
MET_SoftTrk_ResoPerp                        , onesided
MET_SoftTrk_Scale                           , twosided
JET_JERMC_DataVsMC_AFII                     , twosided
JET_JERMC_DataVsMC_MC16                     , twosided
JET_JERMC_EffectiveNP_1                     , twosided
JET_JERMC_EffectiveNP_2                     , twosided
JET_JERMC_EffectiveNP_3                     , twosided
JET_JERMC_EffectiveNP_4                     , twosided
JET_JERMC_EffectiveNP_5                     , twosided
JET_JERMC_EffectiveNP_6                     , twosided
JET_JERMC_EffectiveNP_7                     , twosided
JET_JERMC_EffectiveNP_8                     , twosided
JET_JERMC_EffectiveNP_9                     , twosided
JET_JERMC_EffectiveNP_10                    , twosided
JET_JERMC_EffectiveNP_11                    , twosided
JET_JERMC_EffectiveNP_12restTerm            , twosided
JET_JERPD_DataVsMC_AFII                     , twosided
JET_JERPD_DataVsMC_MC16                     , twosided
JET_JERPD_EffectiveNP_1                     , twosided
JET_JERPD_EffectiveNP_2                     , twosided
JET_JERPD_EffectiveNP_3                     , twosided
JET_JERPD_EffectiveNP_4                     , twosided
JET_JERPD_EffectiveNP_5                     , twosided
JET_JERPD_EffectiveNP_6                     , twosided
JET_JERPD_EffectiveNP_7                     , twosided
JET_JERPD_EffectiveNP_8                     , twosided
JET_JERPD_EffectiveNP_9                     , twosided
JET_JERPD_EffectiveNP_10                    , twosided
JET_JERPD_EffectiveNP_11                    , twosided
JET_JERPD_EffectiveNP_12restTerm            , twosided
JET_BJES_Response                           , twosided
JET_EffectiveNP_Detector1                   , twosided
JET_EffectiveNP_Detector2                   , twosided
JET_EffectiveNP_Mixed1                      , twosided
JET_EffectiveNP_Mixed2                      , twosided
JET_EffectiveNP_Mixed3                      , twosided
JET_EffectiveNP_Modelling1                  , twosided
JET_EffectiveNP_Modelling2                  , twosided
JET_EffectiveNP_Modelling3                  , twosided
JET_EffectiveNP_Modelling4                  , twosided
JET_EffectiveNP_Statistical1                , twosided
JET_EffectiveNP_Statistical2                , twosided
JET_EffectiveNP_Statistical3                , twosided
JET_EffectiveNP_Statistical4                , twosided
JET_EffectiveNP_Statistical5                , twosided
JET_EffectiveNP_Statistical6                , twosided
JET_EtaIntercalibration_Modelling           , twosided
JET_EtaIntercalibration_NonClosure_2018data , twosided
JET_EtaIntercalibration_NonClosure_highE    , twosided
JET_EtaIntercalibration_NonClosure_negEta   , twosided
JET_EtaIntercalibration_NonClosure_posEta   , twosided
JET_EtaIntercalibration_TotalStat           , twosided
JET_Flavor_Composition                      , twosided
JET_Flavor_Response                         , twosided
JET_Pileup_OffsetMu                         , twosided
JET_Pileup_OffsetNPV                        , twosided
JET_Pileup_PtTerm                           , twosided
JET_Pileup_RhoTopology                      , twosided
JET_PunchThrough_AFII                       , twosided
JET_PunchThrough_MC16                       , twosided
JET_RelativeNonClosure_AFII                 , twosided
JET_RelativeNonClosure_MC16                 , twosided
JET_SingleParticle_HighPt                   , twosided
