SampleID, process                                                     , xsection(nb), kfactor , filtereff , generator                               , simulation
# signal non-res NLO+FT kappa_lambda=1
600047  , PhH7EG_PDF4LHC15_HHbbWW2L_cHHH01d0                          , 0.00003102, 1       , 0.0264216 , Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
600045  , PhH7EG_PDF4LHC15_HHbbtt2L_cHHH01d0                          , 0.00003102, 1       , 0.00905898, Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
600049  , PhH7EG_PDF4LHC15_HHbbZZ2L_cHHH01d0                          , 0.00003102, 1       , 0.00123213, Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
600761  , PhH7EG_hh_bbZZ_2l2q_cHHH01d0                                , 0.00003102, 1       , 0.004272  , Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
600465  , PhPy8EG_PDF4LHC15_HHbbWW2l_cHHH01d0                         , 0.00003102, 1       , 0.0162394 , Powheg+Pythia8(v.244p3)                 , OFLCOND-MC16-SDR-16
600467  , PhPy8EG_PDF4LHC15_HHbbtt2l_cHHH01d0                         , 0.00003102, 1       , 0.00905898, Powheg+Pythia8(v.244p3)                 , OFLCOND-MC16-SDR-16
600469  , PhPy8EG_PDF4LHC15_HHbbZZ2l_cHHH01d0                         , 0.00003102, 1       , 0.00087235, Powheg+Pythia8(v.244p3)                 , OFLCOND-MC16-SDR-16
600863  , PhPy8EG_NNPDF30NLO_HHML_bbZZ2l2q_1LcHHH01d0                 , 0.00003102, 1       , 0.004272  , Powheg+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16

# signal non-res NLO+FT kappa_lambda=10
600048  , PhH7EG_PDF4LHC15_HHbbWW2L_cHHH10d0                          , 0.001     , 1       , 0.0264216 , Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
600046  , PhH7EG_PDF4LHC15_HHbbtt2L_cHHH10d0                          , 0.001     , 1       , 0.00905898, Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
600050  , PhH7EG_PDF4LHC15_HHbbZZ2L_cHHH10d0                          , 0.001     , 1       , 0.00123213, Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
600772  , PhH7EG_hh_bbZZ_2l2q_cHHH10d0                                , 0.001     , 1       , 0.004272  , Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
600466  , PhPy8EG_PDF4LHC15_HHbbWW2l_cHHH10d0                         , 0.001     , 1       , 0.0162394 , Powheg+Pythia8(v.244p3)                 , OFLCOND-MC16-SDR-16
600468  , PhPy8EG_PDF4LHC15_HHbbtt2l_cHHH10d0                         , 0.001     , 1       , 0.00905898, Powheg+Pythia8(v.244p3)                 , OFLCOND-MC16-SDR-16
600470  , PhPy8EG_PDF4LHC15_HHbbZZ2l_cHHH10d0                         , 0.001     , 1       , 0.00087235, Powheg+Pythia8(v.244p3)                 , OFLCOND-MC16-SDR-16
600898  , PhPy8EG_NNPDF30NLO_HHML_bbZZ2l2q_1LcHHH10d0                 , 0.001     , 1       , 0.004272  , Powheg+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16

# signal 2HDM
